Curcumin Nano Particle,,9 micro L,,10 micro L,,20 micro L,,30 micro L,,40 micro L,,50 micro L,,60 micro L,,70 micro L,,80 micro L,,90 micro L,,,,,
271,,321,,321,,321,,271,,321,,321,,321,,321,,321,,321,,,,,
D1 420:430-700,,D1 420:430-750,,D1 420:430-750,,D1 420:430-750,,D1 420:430-700,,D1 420:430-750,,D1 420:430-750,,D1 420:430-750,,D1 420:430-750,,D1 420:430-750,,D1 420:430-750,,,,,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,,,,
430.084,44833.4,430.084,18873.7,430.084,29071.4,430.084,24446.9,430.084,17419.9,430.084,16068,430.084,18601,430.084,19409.1,430.084,15493.2,430.084,7404.49,430.084,8408.67,,,,
431.071,39384.7,431.071,17823.6,431.071,26200,431.071,21683.5,431.071,15836,431.071,13931.1,431.071,16340.3,431.071,17702.5,431.071,13548.4,431.071,6591.48,431.071,7213.75,,,,
432.057,36110.7,432.057,15382.3,432.057,23940.5,432.057,19217.1,432.057,15523.5,432.057,12853.6,432.057,14646.5,432.057,16895.1,432.057,13377.2,432.057,6109.87,432.057,6180.1,,,,
433.043,33218.6,433.043,14807.8,433.043,22968.5,433.043,17541,433.043,13347,433.043,12239.5,433.043,13075.1,433.043,14636.4,433.043,12038.2,433.043,5818.95,433.043,6380.76,,,,
434.03,30259.8,434.03,12833.4,434.03,19671.8,434.03,15846.1,434.03,12440.8,434.03,11102.5,434.03,12843.5,434.03,13860.6,434.03,10790.7,434.03,5648.44,434.03,5869.11,,,,
435.016,27325.8,435.016,12088.5,435.016,18076,435.016,15241.2,435.016,11756.5,435.016,10489,435.016,11203.1,435.016,12380.4,435.016,10267.8,435.016,4605.61,435.016,4856.24,,,,
436.003,26331.8,436.003,11877.2,436.003,17187.8,436.003,14434.9,436.003,11494.9,436.003,9755.12,436.003,10479,436.003,12138.9,436.003,8830.59,436.003,4625.66,436.003,4605.61,,,,
436.989,24467.1,436.989,10539.3,436.989,16138.6,436.989,13165.7,436.989,9182.26,436.989,8569.39,436.989,9111.92,436.989,10629.8,436.989,8991.35,436.989,4445.23,436.989,4485.32,,,,
437.975,23596.2,437.975,10096.9,437.975,15563.8,437.975,12380.4,437.975,10107,437.975,7796.06,437.975,8910.97,437.975,10951.6,437.975,8448.85,437.975,4194.65,437.975,4164.59,,,,
438.962,20955.4,438.962,9473.69,438.962,14414.8,438.962,11384.2,438.962,9503.85,438.962,6942.74,438.962,7876.39,438.962,9513.9,438.962,8328.32,438.962,3733.69,438.962,4014.26,,,,
439.948,19267.6,439.948,9081.78,439.948,14203.2,439.948,11515,439.948,8880.83,439.948,7836.22,439.948,7956.72,439.948,9413.39,439.948,7896.47,439.948,3493.23,439.948,3803.83,,,,
440.935,19146.4,440.935,8559.35,440.935,13679.3,440.935,11213.2,440.935,8348.41,440.935,7484.8,440.935,7324.17,440.935,8931.06,440.935,7765.93,440.935,3443.14,440.935,3673.57,,,,
441.921,18732.3,441.921,8760.27,441.921,12561.6,441.921,10338.2,441.921,8167.62,441.921,6882.52,441.921,7083.26,441.921,8790.41,441.921,7364.33,441.921,3282.85,441.921,3853.93,,,,
442.907,17894.3,442.907,8037.06,442.907,12712.6,442.907,10036.6,442.907,7735.81,442.907,6962.81,442.907,6782.16,442.907,8629.67,442.907,7334.21,442.907,3403.06,442.907,3683.59,,,,
443.894,16925.4,443.894,8268.06,443.894,11434.5,443.894,8448.85,443.894,8107.36,443.894,6952.77,443.894,6501.17,443.894,8237.92,443.894,7454.68,443.894,3312.9,443.894,3383.03,,,,
444.88,16027.6,444.88,8117.41,444.88,11595.5,444.88,9463.64,444.88,7494.84,444.88,6561.38,444.88,6230.26,444.88,8157.58,444.88,7033.07,444.88,3583.4,444.88,3713.65,,,,
446.113,15553.7,446.113,7705.69,446.113,10358.3,446.113,8760.27,446.113,7183.64,446.113,6220.23,446.113,6260.36,446.113,7705.69,446.113,6330.59,446.113,3403.06,446.113,3773.77,,,,
447.1,14868.2,447.1,7063.18,447.1,10107,447.1,8278.1,447.1,6962.81,447.1,6872.48,447.1,6581.45,447.1,8037.06,447.1,7173.6,447.1,3853.93,447.1,3753.73,,,,
448.086,14374.4,448.086,7304.1,448.086,9825.48,448.086,7886.43,448.086,7213.75,448.086,5528.08,448.086,6461.03,448.086,7243.87,448.086,6400.83,448.086,3603.44,448.086,3723.67,,,,
449.072,14092.3,449.072,7535,449.072,9383.25,449.072,8067.19,449.072,7002.96,449.072,6170.06,449.072,5628.38,449.072,7002.96,449.072,7013,449.072,3863.95,449.072,3843.91,,,,
450.059,13770,450.059,6912.63,450.059,9503.85,450.059,7786.02,450.059,7243.87,450.059,5929.29,450.059,5407.73,450.059,7514.92,450.059,6782.16,450.059,3393.05,450.059,3403.06,,,,
451.045,14314,451.045,6471.07,451.045,9222.46,451.045,8227.88,451.045,7043.11,451.045,6170.06,451.045,5588.26,451.045,7314.14,451.045,6782.16,451.045,3603.44,451.045,3483.21,,,,
452.032,13357,452.032,7113.37,452.032,8820.55,452.032,7675.56,452.032,6320.56,452.032,6280.43,452.032,5427.79,452.032,6742.01,452.032,6009.55,452.032,3362.99,452.032,3633.49,,,,
453.018,12883.8,453.018,6471.07,453.018,9051.63,453.018,7856.31,453.018,6782.16,453.018,5417.76,453.018,5909.23,453.018,6752.05,453.018,6300.49,453.018,3393.05,453.018,3793.81,,,,
454.004,12370.4,454.004,6701.87,454.004,8880.83,454.004,7464.72,454.004,6501.17,454.004,5568.2,454.004,5558.17,454.004,6360.69,454.004,6491.14,454.004,3753.73,454.004,3743.71,,,,
454.991,12481.1,454.991,6230.26,454.991,8549.3,454.991,7705.69,454.991,6370.73,454.991,5949.36,454.991,5708.62,454.991,6420.9,454.991,6370.73,454.991,3974.18,454.991,3533.3,,,,
455.977,12058.3,455.977,6320.56,455.977,8197.75,455.977,7374.37,455.977,5929.29,455.977,5447.85,455.977,4966.52,455.977,6089.8,455.977,5959.39,455.977,4324.95,455.977,4214.7,,,,
456.964,11042.2,456.964,5939.33,456.964,8338.36,456.964,6782.16,456.964,6139.97,456.964,5247.28,456.964,5909.23,456.964,6340.63,456.964,5999.52,456.964,4094.44,456.964,4645.71,,,,
457.95,11384.2,457.95,6170.06,457.95,7886.43,457.95,7153.52,457.95,6039.64,457.95,5427.79,457.95,5668.5,457.95,6290.46,457.95,7043.11,457.95,4154.57,457.95,4304.9,,,,
458.936,11665.9,458.936,6270.39,458.936,7695.65,458.936,6922.67,458.936,6129.93,458.936,6210.19,458.936,5518.05,458.936,6019.58,458.936,6752.05,458.936,4144.54,458.936,4264.81,,,,
459.923,10851.1,459.923,6681.8,459.923,8398.63,459.923,7344.25,459.923,6691.84,459.923,5899.2,459.923,6089.8,459.923,6742.01,459.923,6842.37,459.923,4164.59,459.923,4786.06,,,,
460.909,11193.1,460.909,6420.9,460.909,8016.98,460.909,7314.14,460.909,6952.77,460.909,5387.68,460.909,5497.99,460.909,6129.93,460.909,6812.26,460.909,4585.56,460.909,5147.01,,,,
461.896,11162.9,461.896,6059.71,461.896,8097.32,461.896,7705.69,461.896,7013,461.896,5618.35,461.896,5778.83,461.896,7143.48,461.896,6641.66,461.896,4685.81,461.896,5357.59,,,,
462.882,10810.8,462.882,6320.56,462.882,8027.02,462.882,7153.52,462.882,6260.36,462.882,5869.11,462.882,6109.87,462.882,6501.17,462.882,7464.72,462.882,5417.76,462.882,5317.48,,,,
464.115,11333.9,464.115,6681.8,464.115,8539.26,464.115,7073.22,464.115,6862.45,464.115,6250.33,464.115,5909.23,464.115,6932.7,464.115,7625.36,464.115,4625.66,464.115,5768.8,,,,
465.101,11504.9,465.101,6691.84,465.101,8830.59,465.101,7374.37,465.101,7013,465.101,6099.84,465.101,6320.56,465.101,7284.02,465.101,7033.07,465.101,5658.47,465.101,5608.32,,,,
466.088,10851.1,466.088,6982.89,466.088,9423.44,466.088,7414.53,466.088,6882.52,466.088,6320.56,466.088,6360.69,466.088,7504.88,466.088,7936.64,466.088,6290.46,466.088,6360.69,,,,
467.074,11837,467.074,6812.26,467.074,8438.81,467.074,8227.88,467.074,6742.01,467.074,6842.37,467.074,7143.48,467.074,7414.53,467.074,7826.18,467.074,6370.73,467.074,6511.21,,,,
468.061,11867.1,468.061,6671.76,468.061,9423.44,468.061,8237.92,468.061,7474.76,468.061,7073.22,468.061,6752.05,468.061,8418.72,468.061,8278.1,468.061,6410.86,468.061,6711.91,,,,
469.047,11816.8,469.047,7524.96,469.047,9674.71,469.047,8619.62,469.047,7796.06,469.047,7404.49,469.047,7414.53,469.047,8659.8,469.047,8418.72,469.047,6731.98,469.047,7043.11,,,,
470.033,11414.4,470.033,7474.76,470.033,9292.8,470.033,8840.64,470.033,8137.49,470.033,7213.75,470.033,8227.88,470.033,8278.1,470.033,8720.08,470.033,6922.67,470.033,7926.6,,,,
471.02,11615.6,471.02,7876.39,471.02,10298,471.02,9091.83,471.02,8107.36,471.02,8107.36,471.02,7886.43,471.02,8489.03,471.02,9121.97,471.02,7524.96,471.02,8147.53,,,,
472.006,12541.5,472.006,8278.1,472.006,9875.74,472.006,9001.4,472.006,8247.97,472.006,8077.23,472.006,8398.63,472.006,9624.45,472.006,9966.22,472.006,7725.77,472.006,8589.49,,,,
472.993,13175.8,472.993,7816.14,472.993,10167.3,472.993,8649.76,472.993,8298.19,472.993,8067.19,472.993,8298.19,472.993,9875.74,472.993,10368.4,472.993,8057.15,472.993,9704.86,,,,
473.979,12974.4,473.979,8509.12,473.979,10710.3,473.979,8730.13,473.979,8941.11,473.979,8629.67,473.979,8438.81,473.979,9976.27,473.979,10710.3,473.979,9182.26,473.979,10207.5,,,,
474.965,12843.5,474.965,8569.39,474.965,9976.27,474.965,9423.44,474.965,9212.41,474.965,8800.45,474.965,8710.04,474.965,10046.6,474.965,11384.2,474.965,9192.31,474.965,9996.38,,,,
475.952,12380.4,475.952,8961.21,475.952,10770.6,475.952,9443.54,475.952,9513.9,475.952,9604.35,475.952,9926.01,475.952,10800.8,475.952,10660,475.952,9453.59,475.952,11434.5,,,,
476.938,13155.6,476.938,8730.13,476.938,10358.3,476.938,9805.38,476.938,8931.06,476.938,9694.81,476.938,9915.95,476.938,11686,476.938,11434.5,476.938,9946.11,476.938,11183,,,,
477.925,12692.5,477.925,8921.02,477.925,10177.3,477.925,9513.9,477.925,8991.35,477.925,9885.8,477.925,10177.3,477.925,12068.4,477.925,12611.9,477.925,11052.2,477.925,11736.3,,,,
478.911,12742.8,478.911,8599.53,478.911,11183,478.911,10448.8,478.911,9926.01,478.911,11072.3,478.911,10217.6,478.911,12994.5,478.911,13236.2,478.911,12088.5,478.911,12430.7,,,,
479.897,13165.7,479.897,10076.8,479.897,11374.1,479.897,11032.1,479.897,10458.9,479.897,11444.6,479.897,10961.7,479.897,12340.2,479.897,12903.9,479.897,12793.2,479.897,13931.1,,,,
480.884,13437.6,480.884,10901.4,480.884,11796.7,480.884,11122.6,480.884,11354,480.884,11122.6,480.884,12259.6,480.884,13528.2,480.884,13820.3,480.884,13306.7,480.884,14354.3,,,,
482.117,14586.1,482.117,11716.2,482.117,12843.5,482.117,12269.7,482.117,12299.9,482.117,12773,482.117,13437.6,482.117,15664.6,482.117,16269.7,482.117,14787.6,482.117,16148.7,,,,
483.103,14455.1,483.103,11515,483.103,13155.6,483.103,12430.7,483.103,13075.1,483.103,12944.2,483.103,14122.6,483.103,16239.4,483.103,16794.2,483.103,15281.5,483.103,17086.8,,,,
484.09,14616.3,484.09,12320,484.09,13759.9,484.09,12843.5,484.09,13508.1,484.09,14465.1,484.09,14183,484.09,16632.8,484.09,16572.3,484.09,16612.7,484.09,17571.3,,,,
485.076,15261.3,485.076,13608.8,485.076,13911,485.076,13820.3,485.076,13618.9,485.076,13679.3,485.076,14948.9,485.076,17611.6,485.076,17480.4,485.076,17712.6,485.076,19237.3,,,,
486.062,15483.1,486.062,14031.9,486.062,14314,486.062,14344.2,486.062,13991.6,486.062,15221,486.062,17066.7,486.062,18096.2,486.062,18318.3,486.062,17641.9,486.062,20146.7,,,,
487.049,15916.7,487.049,13780,487.049,15362.2,487.049,14979.1,487.049,14878.3,487.049,16622.7,487.049,17147.4,487.049,19196.9,487.049,20116.4,487.049,17975,487.049,20854.3,,,,
488.035,16078.1,488.035,14475.2,488.035,15251.3,488.035,14485.3,488.035,15594,488.035,15674.7,488.035,18429.4,488.035,20005.2,488.035,20419.6,488.035,20298.3,488.035,21724,,,,
489.022,16219.3,489.022,15352.1,489.022,15059.7,489.022,15342,489.022,15694.9,489.022,16814.4,489.022,17944.7,489.022,20611.7,489.022,21107.1,489.022,21066.6,489.022,22867.3,,,,
490.008,16935.5,490.008,14495.4,490.008,16128.5,490.008,15362.2,490.008,16552.1,490.008,17763,490.008,18570.7,490.008,21440.8,490.008,22897.7,490.008,21855.5,490.008,24771,,,,
490.994,17288.7,490.994,15251.3,490.994,16653,490.994,16229.4,490.994,16370.6,490.994,18318.3,490.994,18792.9,490.994,21896,490.994,23383.6,490.994,23818.9,490.994,25399.3,,,,
491.981,17016.2,491.981,16360.5,491.981,17086.8,491.981,16552.1,491.981,17480.4,491.981,19762.7,491.981,20257.9,491.981,23322.8,491.981,23616.4,491.981,24386.1,491.981,27447.5,,,,
492.967,17339.1,492.967,16400.8,492.967,17218,492.967,16199.1,492.967,18590.9,492.967,20733,492.967,20925.1,492.967,23869.6,492.967,23970.8,492.967,24943.3,492.967,27731.6,,,,
493.954,18853.5,493.954,16925.4,493.954,17248.3,493.954,17833.7,493.954,18984.8,493.954,21633,493.954,23140.6,493.954,25196.6,493.954,26037.8,493.954,27072.2,493.954,29203.4,,,,
494.94,17975,494.94,17399.7,494.94,17843.8,494.94,17934.6,494.94,19277.7,494.94,21289.1,494.94,22735.8,494.94,26737.5,494.94,27508.4,494.94,27812.8,494.94,30005.8,,,,
495.926,19005,495.926,18439.4,495.926,18570.7,495.926,18984.8,495.926,20278.1,495.926,21865.6,495.926,24173.4,495.926,27863.5,495.926,27214.2,495.926,28218.7,495.926,32740.4,,,,
496.913,19590.9,496.913,18449.5,496.913,19520.2,496.913,20419.6,496.913,20955.4,496.913,22563.7,496.913,25075,496.913,27538.8,496.913,28594.2,496.913,31377.7,496.913,31509.9,,,,
497.899,19277.7,497.899,20773.4,497.899,19924.4,497.899,21157.6,497.899,20601.6,497.899,24122.7,497.899,26605.6,497.899,29802.6,497.899,29975.3,497.899,31662.4,497.899,32506.5,,,,
498.886,21046.4,498.886,19429.3,498.886,20166.9,498.886,20915,498.886,22998.9,498.886,25824.9,498.886,26524.5,498.886,29457.3,498.886,32323.4,498.886,32659,498.886,37079.1,,,,
500.119,21501.5,500.119,21056.5,500.119,20955.4,500.119,22452.4,500.119,24062,500.119,25500.6,500.119,27122.9,500.119,31113.4,500.119,31479.4,500.119,32862.5,500.119,36069.9,,,,
501.105,20783.5,501.105,21198.1,501.105,21329.5,501.105,21420.6,501.105,23302.6,501.105,26950.4,501.105,29244,501.105,32272.5,501.105,32537,501.105,33686.8,501.105,38180.5,,,,
502.091,22654.8,502.091,21693.6,502.091,22584,502.091,23981,502.091,25297.9,502.091,28787.1,502.091,30432.5,502.091,32638.7,502.091,33412,502.091,36487.8,502.091,39844.2,,,,
503.078,21794.8,503.078,22928.1,503.078,23383.6,503.078,23363.3,503.078,25247.2,503.078,29782.3,503.078,31560.7,503.078,34002.3,503.078,35122.4,503.078,36304.3,503.078,41141.3,,,,
504.064,23322.8,504.064,23474.7,504.064,23555.7,504.064,24862.2,504.064,27001.2,504.064,29487.8,504.064,31875.9,504.064,35387.3,504.064,36243.2,504.064,39834,504.064,43267.7,,,,
505.051,24254.4,505.051,24376,505.051,24183.5,505.051,24923,505.051,27721.4,505.051,30950.8,505.051,31896.2,505.051,34460.5,505.051,37813.3,505.051,39058.1,505.051,44249.9,,,,
506.037,24213.9,506.037,24254.4,506.037,24841.9,506.037,25733.7,506.037,28401.4,506.037,31652.2,506.037,33585,506.037,37670.5,506.037,40028,506.037,41550.1,506.037,43523.5,,,,
507.023,25845.2,507.023,25368.8,507.023,27264.9,507.023,27082.3,507.023,29244,507.023,33432.3,507.023,34633.6,507.023,37966.3,507.023,40293.5,507.023,42603,507.023,47589,,,,
508.01,25906,508.01,24457,508.01,26605.6,508.01,28340.5,508.01,29701,508.01,33554.4,508.01,37283,508.01,39323.5,508.01,41631.8,508.01,44403.5,508.01,48994,,,,
508.996,27396.8,508.996,26767.9,508.996,28370.9,508.996,30168.3,508.996,30686.5,508.996,34032.8,508.996,37792.9,508.996,40426.3,508.996,43707.6,508.996,46123.6,508.996,50122.8,,,,
509.983,27173.6,509.983,28553.6,509.983,28249.1,509.983,29680.7,509.983,32231.8,509.983,35805,509.983,39446,509.983,42684.8,509.983,45283.8,509.983,47261,509.983,50779.9,,,,
510.969,28817.6,510.969,28827.7,510.969,28837.9,510.969,31326.9,510.969,33208.4,510.969,36355.3,510.969,40518.2,510.969,45314.6,510.969,46369.5,510.969,48706.8,510.969,53513.1,,,,
511.955,28980,511.955,30117.5,511.955,30005.8,511.955,31601.4,511.955,34491,511.955,36885.3,511.955,39333.7,511.955,45632,511.955,47373.8,511.955,50636.1,511.955,54325.6,,,,
512.942,29680.7,512.942,29640.1,512.942,32130.1,512.942,32109.8,512.942,34592.8,512.942,38476.4,512.942,42418.9,512.942,45550.1,512.942,48153,512.942,51591.2,512.942,55292.8,,,,
513.928,30940.6,513.928,31631.9,513.928,31479.4,513.928,32150.5,513.928,35122.4,513.928,40017.8,513.928,42347.4,513.928,45560.3,513.928,49353.1,513.928,53143,513.928,57156.6,,,,
514.915,31265.9,514.915,31530.2,514.915,31154.1,514.915,33778.4,514.915,35937.4,514.915,41836.3,514.915,43912.3,514.915,46912.6,514.915,49517.3,514.915,54407.9,514.915,59156.1,,,,
515.901,30391.9,515.901,32943.9,515.901,32954.1,515.901,33981.9,515.901,37099.5,515.901,41856.7,515.901,44260.2,515.901,47619.8,515.901,52197.4,515.901,55395.8,515.901,58733.4,,,,
516.887,32181,516.887,32506.5,516.887,33208.4,516.887,34990,516.887,38313.2,516.887,42234.9,516.887,46840.8,516.887,49671.2,516.887,52279.6,516.887,56950.5,516.887,61395.2,,,,
518.12,33656.2,518.12,34674.3,518.12,34175.4,518.12,36324.7,518.12,39823.7,518.12,46963.8,518.12,49127.4,518.12,52598.2,518.12,55889.9,518.12,59692.5,518.12,63936.6,,,,
519.107,33900.5,519.107,35692.9,519.107,35550.3,519.107,37272.8,519.107,41049.4,519.107,45140.5,519.107,48563.2,519.107,52680.4,519.107,56425.3,519.107,60414.6,519.107,66512.3,,,,
520.093,34226.3,520.093,36650.9,520.093,37568.5,520.093,38558.1,520.093,41100.5,520.093,45120,520.093,50400,520.093,53739.4,520.093,57074.2,520.093,62593.1,520.093,66636.5,,,,
521.08,35203.9,521.08,37364.6,521.08,37996.9,521.08,38813.2,521.08,42408.7,521.08,47999.1,521.08,52033,521.08,55848.7,521.08,58197.3,521.08,63430.1,521.08,66957.4,,,,
522.066,35621.6,522.066,36844.6,522.066,37119.8,522.066,38690.7,522.066,42459.8,522.066,49127.4,522.066,54284.5,522.066,56631.2,522.066,57898.4,522.066,64474.2,522.066,66884.9,,,,
523.052,35326.1,523.052,37772.5,523.052,37721.5,523.052,40252.6,523.052,41519.4,523.052,51077.7,523.052,54037.6,523.052,57383.2,523.052,60920.3,523.052,64991.3,523.052,68645.7,,,,
524.039,36120.9,524.039,39119.3,524.039,37741.9,524.039,41243.5,524.039,44884.5,524.039,49435.2,524.039,53677.7,524.039,59331.5,524.039,62810.1,524.039,65736.1,524.039,68759.7,,,,
525.025,37446.2,525.025,39874.8,525.025,38078.5,525.025,41325.3,525.025,45898.3,525.025,49414.7,525.025,53585.1,525.025,58898.3,525.025,63636.8,525.025,66491.6,525.025,71269.1,,,,
526.012,38364.2,526.012,38088.7,526.012,40028,526.012,41274.2,526.012,46810.1,526.012,49414.7,526.012,54984.1,526.012,59971,526.012,63264.7,526.012,67993,526.012,72379.7,,,,
526.998,38129.5,526.998,39650.2,526.998,38629.5,526.998,43083.6,526.998,46082.7,526.998,52104.9,526.998,56744.5,526.998,60249.5,526.998,65601.6,526.998,68241.6,526.998,72390,,,,
527.984,38629.5,527.984,39640,527.984,40988.1,527.984,42787.1,527.984,47261,527.984,52844.9,527.984,57383.2,527.984,60724.2,527.984,65839.6,527.984,67423.4,527.984,73179.2,,,,
528.971,39680.8,528.971,41110.7,528.971,40916.6,528.971,41662.5,528.971,46441.2,528.971,53811.3,528.971,58104.6,528.971,60125.7,528.971,64484.5,528.971,69443.8,528.971,71414.4,,,,
529.957,37813.3,529.957,40773.6,529.957,40630.5,529.957,43799.7,529.957,47086.8,529.957,53667.4,529.957,57960.3,529.957,61240.3,529.957,63667.8,529.957,69360.9,529.957,73459.7,,,,
530.944,39078.5,530.944,40559,530.944,41192.4,530.944,44864.1,530.944,47004.8,530.944,53708.5,530.944,57032.9,530.944,62396.9,530.944,64670.7,530.944,70719.3,530.944,74374,,,,
531.93,39497,531.93,42163.4,531.93,40977.9,531.93,43339.3,531.93,46994.6,531.93,53903.9,531.93,58599.4,531.93,62944.4,531.93,65839.6,531.93,70283.6,531.93,74904,,,,
